2026-03-09 19:04:51 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=II fmt=csv
2026-03-09 19:04:51 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=III fmt=csv
2026-03-09 19:04:52 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=IV fmt=csv
2026-03-09 19:04:52 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=V fmt=csv
2026-03-09 19:04:53 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=VI fmt=csv
2026-03-09 19:06:05 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=II fmt=csv
2026-03-09 19:06:06 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=III fmt=csv
2026-03-09 19:06:06 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=IV fmt=csv
2026-03-09 19:06:07 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=V fmt=csv
2026-03-09 19:06:07 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=VI fmt=csv
2026-03-09 19:53:47 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=II fmt=csv
2026-03-09 19:53:48 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=III fmt=csv
2026-03-09 19:53:48 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=IV fmt=csv
2026-03-09 19:53:49 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=V fmt=csv
2026-03-09 19:53:49 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=VI fmt=csv
2026-03-09 22:48:14 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=II fmt=csv
2026-03-09 22:48:15 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=III fmt=csv
2026-03-09 22:48:15 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=IV fmt=csv
2026-03-09 22:48:16 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=V fmt=csv
2026-03-09 22:48:16 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=VI fmt=csv
2026-03-09 22:55:06 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=II fmt=csv
2026-03-09 22:55:07 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=III fmt=csv
2026-03-09 22:55:07 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=IV fmt=csv
2026-03-09 22:55:08 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=V fmt=csv
2026-03-09 22:55:08 | INFO | ingredient_pipeline.sources.cosing | Acquired CosIng annex export: annex=VI fmt=csv
2026-03-10 02:26:48 | INFO | ingredient_pipeline.sources.chebi | ChEBI disabled via config (CHEBI_ENABLED=false). Skipping.
2026-03-10 02:31:52 | INFO | ingredient_pipeline.sources.chebi | ChEBI disabled via config (CHEBI_ENABLED=false). Skipping.
2026-03-10 02:32:05 | INFO | ingredient_pipeline.sources.chebi | ChEBI disabled via config (CHEBI_ENABLED=false). Skipping.
2026-03-10 02:53:43 | INFO | ingredient_pipeline.sources.chebi | ChEBI disabled via config (CHEBI_ENABLED=false). Skipping.
2026-03-10 03:54:36 | INFO | ingredient_pipeline.sources.chebi | ChEBI disabled via config (CHEBI_ENABLED=false). Skipping.
